# B(mT)	 U (V)	 std (V)	 direction 	 loop 
-20.0896	-0.0331	0.0023	-1.0000	1.0000
-24.9424	-0.0217	0.0024	-1.0000	1.0000
-29.9940	-0.0100	0.0024	-1.0000	1.0000
-35.0440	0.0033	0.0024	-1.0000	1.0000
-39.9016	0.0149	0.0024	-1.0000	1.0000
-44.9666	0.0270	0.0023	-1.0000	1.0000
-50.0316	0.0386	0.0023	-1.0000	1.0000
-55.0966	0.0516	0.0026	-1.0000	1.0000
-59.9620	0.0630	0.0022	-1.0000	1.0000
-65.0320	0.0735	0.0025	-1.0000	1.0000
-70.0810	0.0847	0.0024	-1.0000	1.0000
-74.9146	0.0960	0.0022	-1.0000	1.0000
-79.9664	0.1069	0.0026	-1.0000	1.0000
-85.0314	0.1193	0.0022	-1.0000	1.0000
-89.9042	0.1294	0.0023	-1.0000	1.0000
-94.9892	0.1405	0.0021	-1.0000	1.0000
-100.0326	0.1508	0.0025	-1.0000	1.0000
-105.0376	0.1600	0.0022	-1.0000	1.0000
-110.0894	0.1697	0.0021	-1.0000	1.0000
-114.9806	0.1780	0.0022	-1.0000	1.0000
-120.0420	0.1859	0.0022	-1.0000	1.0000
-125.0670	0.1938	0.0021	-1.0000	1.0000
-129.8998	0.1998	0.0020	-1.0000	1.0000
-134.9448	0.2049	0.0021	-1.0000	1.0000
-139.9942	0.2084	0.0021	-1.0000	1.0000
-145.0492	0.2118	0.0022	-1.0000	1.0000
-149.9040	0.2156	0.0022	-1.0000	1.0000
-154.9640	0.2173	0.0021	-1.0000	1.0000
-160.0100	0.2180	0.0022	-1.0000	1.0000
-165.0350	0.2200	0.0021	-1.0000	1.0000
-170.0660	0.2199	0.0022	-1.0000	1.0000
-174.9044	0.2204	0.0024	-1.0000	1.0000
-179.9444	0.2229	0.0022	-1.0000	1.0000
-184.9844	0.2230	0.0021	-1.0000	1.0000
-190.0550	0.2233	0.0019	-1.0000	1.0000
-194.9750	0.2240	0.0023	-1.0000	1.0000
-200.0328	0.2250	0.0022	-1.0000	1.0000
-204.9478	0.2252	0.0022	-1.0000	1.0000
-209.9108	0.2255	0.0021	-1.0000	1.0000
-214.9758	0.2261	0.0020	-1.0000	1.0000
-220.0584	0.2261	0.0021	-1.0000	1.0000
-224.9736	0.2264	0.0020	-1.0000	1.0000
-230.0516	0.2270	0.0021	-1.0000	1.0000
-235.0216	0.2268	0.0021	-1.0000	1.0000
-240.0140	0.2267	0.0023	-1.0000	1.0000
-245.0640	0.2257	0.0021	-1.0000	1.0000
-249.9096	0.2262	0.0021	-1.0000	1.0000
-254.9496	0.2264	0.0021	-1.0000	1.0000
