# B(mT)	 U (V)	 std (V)	 direction 	 loop 
510.0712	0.0488	0.0020	1.0000	1.0000
515.0008	0.0481	0.0022	1.0000	1.0000
520.0750	0.0480	0.0022	1.0000	1.0000
524.9576	0.0470	0.0021	1.0000	1.0000
530.0228	0.0464	0.0024	1.0000	1.0000
535.0740	0.0457	0.0022	1.0000	1.0000
540.0636	0.0454	0.0022	1.0000	1.0000
545.0280	0.0466	0.0025	1.0000	1.0000
549.9420	0.0472	0.0024	1.0000	1.0000
555.0128	0.0465	0.0023	1.0000	1.0000
560.0584	0.0466	0.0022	1.0000	1.0000
565.0280	0.0468	0.0023	1.0000	1.0000
569.9672	0.0473	0.0024	1.0000	1.0000
574.9154	0.0481	0.0023	1.0000	1.0000
579.9696	0.0481	0.0023	1.0000	1.0000
585.0164	0.0484	0.0022	1.0000	1.0000
589.9378	0.0489	0.0023	1.0000	1.0000
594.9272	0.0495	0.0024	1.0000	1.0000
599.9320	0.0491	0.0023	1.0000	1.0000
600.0080	0.0496	0.0025	-1.0000	1.0000
595.0160	0.0486	0.0022	-1.0000	1.0000
590.0000	0.0492	0.0023	-1.0000	1.0000
585.0388	0.0492	0.0023	-1.0000	1.0000
580.0038	0.0493	0.0023	-1.0000	1.0000
574.9880	0.0493	0.0023	-1.0000	1.0000
570.0180	0.0490	0.0023	-1.0000	1.0000
564.9900	0.0495	0.0025	-1.0000	1.0000
560.0078	0.0504	0.0023	-1.0000	1.0000
554.9936	0.0507	0.0024	-1.0000	1.0000
550.0712	0.0501	0.0022	-1.0000	1.0000
544.9430	0.0493	0.0022	-1.0000	1.0000
539.9646	0.0497	0.0021	-1.0000	1.0000
535.0800	0.0502	0.0021	-1.0000	1.0000
529.9840	0.0498	0.0024	-1.0000	1.0000
525.0050	0.0502	0.0023	-1.0000	1.0000
520.0124	0.0504	0.0022	-1.0000	1.0000
514.9148	0.0504	0.0024	-1.0000	1.0000
510.0160	0.0505	0.0023	-1.0000	1.0000
504.9724	0.0503	0.0024	-1.0000	1.0000
499.9108	0.0502	0.0027	-1.0000	1.0000
495.0020	0.0502	0.0022	-1.0000	1.0000
490.0404	0.0505	0.0020	-1.0000	1.0000
485.0068	0.0503	0.0024	-1.0000	1.0000
480.0148	0.0499	0.0021	-1.0000	1.0000
475.0644	0.0503	0.0019	-1.0000	1.0000
470.0720	0.0507	0.0019	-1.0000	1.0000
465.0488	0.0511	0.0019	-1.0000	1.0000
460.0528	0.0513	0.0021	-1.0000	1.0000
455.0712	0.0505	0.0023	-1.0000	1.0000
450.0554	0.0507	0.0024	-1.0000	1.0000
445.0270	0.0511	0.0023	-1.0000	1.0000
439.9902	0.0509	0.0022	-1.0000	1.0000
434.9514	0.0511	0.0024	-1.0000	1.0000
430.0844	0.0516	0.0022	-1.0000	1.0000
